Organization Name,City,Race/ethnic groups reached,Outreach languages,Population demographic characteristics,Outreach activities,OC Nonprofit Central profile
Charitable Ventures,Placentia,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish, Vietnamese","Children under 5, Farmworkers, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Food / kit distribution, Mailings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/charitable-ventures-of-orange-county-inc
Family Solutions Collaborative,Placentia,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish, Vietnamese","Children under 5, Farmworkers, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, People with disabilities, Veterans","In-person events / gatherings, Virtual events / gatherings",None
Community Health Initiative of Orange County,Placentia,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish","Children under 5, Farmworkers, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Peer-to-peer / mass texting, Phone banking, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/community-health-initiative-of-orange-county-chioc
Orange County Grantmakers,Placentia,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White",English,"Children under 5, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Virtual events / gatherings",None
"Hub for Integration, Reentry & Employment (H.I.R.E.)",Placentia,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish","Houseless individuals & families, LGBTQ+, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/hireoc
Orange County Human Relations,Placentia,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish","Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Older adults / seniors, People with disabilities","In-person events / gatherings, Mailings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/oc-human-relations
Community Action Partnership of Orange County (CAP OC),Placentia,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Farsi, Spanish, Vietnamese","Children under 5, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities, Veterans","Door-to-door canvassing, In-person events / gatherings, Mailings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/capoc
The Malama Collective,Placentia,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White",English,"Children under 5, Farmworkers, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Mailings, Media (TV, radio, newspapers), Virtual events / gatherings",None
Crime Survivors Resource Center,Placentia,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Volunteers and Parnters assist us with other languages when needed","Children under 5, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/crime-survivors-inc
Straight Talk Clinic Inc.,Placentia,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Hindi, Spanish","Farmworkers, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/straighttalkoc
RevHubOC,Placentia,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Chinese (Mandarin), Spanish, Vietnamese","LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, People with disabilities, Veterans","In-person events / gatherings, Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",None
Start Well ~ Infant/Early Childhood Mental Health Consultation,Rancho Santa Margarita,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish",Children under 5,"In-person events / gatherings, Mailings, Tabling / flier distribution, Virtual events / gatherings",None
Alzheimer's Orange County,Placentia,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish",Older adults / seniors,"In-person events / gatherings, Media (TV, radio, newspapers), Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/alzheimers-orange-county
Waymakers,Placentia,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Korean, Spanish, Vietnamese, Translation services are accessible for all languages.","Children under 5, Farmworkers, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Media (TV, radio, newspapers), Tabling / flier distribution",https://www.ocnonprofitcentral.org/organizations/waymakers
Community Legal Aid SoCal,Placentia,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish, Vietnamese","Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities","In-person events / gatherings, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/community-legal-aid-socal
SSA,Placentia,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Arabic, Armenian, Chinese (Cantonese), Chinese (Mandarin), Farsi, Hindi, Japanese, Khmer, Korean, Russian, Spanish, Tagalog, Vietnamese,","Children under 5, Farmworkers, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Virtual events / gatherings",None
Thrive Together OC,Placentia,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Non-Hispanic White","English, Arabic, Armenian, Chinese (Cantonese), Chinese (Mandarin), Farsi, Hindi, Japanese, Khmer, Korean, Russian, Spanish, Tagalog, Vietnamese","Farmworkers, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, People with disabilities, Veterans","In-person events / gatherings, Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",None
